Grupo Indicador;Indicador;Serie;Regiao;Base;Unidade;Periodicidade;Status;Ano;Trimestre;Mês;Data;Valor
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2010;2;Jun;40330;77,1
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2010;3;Jul;40360;79,7
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2010;3;Ago;40391;80,5
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2010;3;Set;40422;79,5
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2010;4;Out;40452;83,4
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2010;4;Nov;40483;82,4
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2010;4;Dez;40513;111,6
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2011;1;Jan;40544;81,7
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2011;1;Fev;40575;75,9
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2011;1;Mar;40603;82,2
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2011;2;Abr;40634;82,9
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2011;2;Mai;40664;84,8
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2011;2;Jun;40695;82,5
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2011;3;Jul;40725;85,3
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2011;3;Ago;40756;85,7
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2011;3;Set;40787;83,6
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2011;4;Out;40817;87
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2011;4;Nov;40848;87,9
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2011;4;Dez;40878;119
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2012;1;Jan;40909;88
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2012;1;Fev;40940;83,9
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2012;1;Mar;40969;92,5
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2012;2;Abr;41000;87,8
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2012;2;Mai;41030;91,7
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2012;2;Jun;41061;90,2
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2012;3;Jul;41091;91,4
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2012;3;Ago;41122;94,2
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2012;3;Set;41153;90,8
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2012;4;Out;41183;94,9
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2012;4;Nov;41214;95,3
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2012;4;Dez;41244;125,1
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2013;1;Jan;41275;93,3
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2013;1;Fev;41306;83,7
